id,texto,categoria,prioridad
1509,"Apreciado equipo de soporte, No puedo acceder a la plataforma Moodle del curso Inteligencia Artificial.",plataforma,media
1909,"Buenas tardes, Quiero reclamar una nota pero el SIA no me deja iniciar sesión.",notas,media
1778,El certificado que descargué tiene mis datos personales equivocados. Es para hoy.,certificados,alta
1758,"Estimados, Requiero un paz y salvo financiero para iniciar mi grado.",certificados,media
1539,Soliicto ampliar el plazo de préstamo de un libro para mi tesis.,biblioteca,media
1077,Solicito información sobre el proceso de matrícula de la maestría.,matricula,baja
1774,"Cordial saludo, Necesito un certificado de notas con urgencia para una beca que cierra hoy.",notas,media
1388,La página de la universidad está muy llenta hoy.,plataforma,baja
1235,"Estimados, Solicito el reporte de notas parciales de mis materias.",notas,baja
1749,"Estimados, El certificado que descargué tiene mis datos personales equivocados.",certificados,media
1429,"Estimados, No puedo iniciar sesión en el SIA, me dice usuaario o contraseña incorrectos.",plataforma,alta
1878,Quiero reclamar una nota pero el SIA no me deja iniciar sesión.,notas,media
1033,Necesito adicionar la materia Inteligencia Artificial pero ya cerró el periodo de adiciones.,matricula,alta
1647,No puedo descargar artículos de la base de datos institucional. Es muy importante.,biblioteca,alta
1414,"Hola, No me llega el correo de verificación para restablecer la contraseña.",plataforma,media
1342,¿Cómo activo mi cuenta institucional de la universidad?,plataforma,baja
1118,"Estimadoss, ¿Puedo hacer una adición extemporánea de Inteligencia Artificial?",certificados,media
1149,¿Cuándo abre el periodo de matrícula para el semestre 2026-2?,matricula,media
1088,"Cordial saludo, Quiero cancelar la asignatura Redes Neuronales antes de la fecha límite.",matricula,alta
1387,La página de la universidad está muy lenta hoy.,plataforma,baja
1381,"Buenas tardes, Olvidé mi ccontraseña del correo institucional y no puedo recuperarla.",plataforma,media
1814,¿Cómo descargo el certificado de notas desde el SIA?,certificados,baja
1447,¿Cómo activo mi cuenta institucional de la universidad?,plataforma,baja
1546,"Buenas tardes, Tengo un paz y salvo pendiente con la biblioteca y necesito graduarme.",biblioteca,alta
1152,"Buenos días, Quiero cancelar la asignatura Sistemas Inteligentes antes de la fecha límite.",matricula,media
1270,"Cordial saludo, Solicito el reporte de notas parciales de mis materias. Tengo plazo hasta hoy.",notas,alta
1091,"Buenas tardes, Quiero cancelar la asignatura Bases de Datos antes de la fecha límite. Es para hoy.",matricula,alta
1148,Solicito información sobre el proceso de matrícula de la maestría.,matricula,baja
1138,¿Cuándo abre el periodo de matrícula para el semestre 2026-1?,matricula,media
1885,Necesito el certificado pero la plataforma no carga.,certificados,alta
1274,"Apreciado equipo de soporte, El sistema no muestra la notta de Cálculo Diferencial aunque ya presenté el examen.",notas,media
1444,No mme llega el correo de verificación para restablecer la contraseña.,plataforma,media
1615,"Hola, Necesito renovar el préstamo de un libro que vence hoy.",biblioteca,media
1198,"Cordial saludo, Aparece una asignatura como reprobada pero yo la aprobé. Lo necesito ya.",notas,alta
1114,Pagué el recibo de matrícula pero el sistema sigue mostrándome como no matriculado.,matricula,alta
1224,"Cordial saludo, La nota que registró el docente de Álgebra Lineal no coincide con la del examen. Lo necesito ya.",notas,alta
1735,"Buenas tardes, Necesito constancia de matrícula para el sisbén / EPS. Es para hoy.",certificados,alta
1476,Mi usuario quedó bloqueado tras varios intentos de inicio de sesión.,plataforma,media
1542,"Cordial saludo, ¿Cómo accedo a las bases de datos científicas desde casa? Tengo plazo hasta hoy.",biblioteca,alta
1374,Laa plataforma SIA se cae cada vez que intento matricular.,plataforma,alta
1812,Solicito el certificado de calificaciones para homologar en otra universidad.,certificados,media
1358,La página de la univeersidad está muy lenta hoy.,plataforma,baja
